80013,2013/07/01,05:35,20:31
80013,2013/07/02,05:36,20:31
80013,2013/07/03,05:36,20:31
80013,2013/07/04,05:37,20:31
80013,2013/07/05,05:37,20:30
80013,2013/07/06,05:38,20:30
80013,2013/07/07,05:39,20:30
80013,2013/07/08,05:39,20:29
80013,2013/07/09,05:40,20:29
80013,2013/07/10,05:41,20:29
80013,2013/07/11,05:41,20:28
80013,2013/07/12,05:42,20:28
80013,2013/07/13,05:43,20:27
80013,2013/07/14,05:44,20:27
80013,2013/07/15,05:44,20:26
80013,2013/07/16,05:45,20:26
80013,2013/07/17,05:46,20:25
80013,2013/07/18,05:47,20:24
80013,2013/07/19,05:47,20:24
80013,2013/07/20,05:48,20:23
80013,2013/07/21,05:49,20:22
80013,2013/07/22,05:50,20:21
80013,2013/07/23,05:51,20:21
80013,2013/07/24,05:52,20:20
80013,2013/07/25,05:52,20:19
80013,2013/07/26,05:53,20:18
80013,2013/07/27,05:54,20:17
80013,2013/07/28,05:55,20:16
80013,2013/07/29,05:56,20:15
80013,2013/07/30,05:57,20:14
80013,2013/07/31,05:58,20:13